address_id,street_address,city,state,zip_code,latitude,longitude,1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,16,35,34,36,8
1.0,86471 Kensington Terrace,San Francisco,California,94142.0,37.7848,-122.7278,,,,,,,,,,
2.0,269 Esch Avenue,Huntsville,Texas,77343.0,30.7813,-95.5953,,,,,,,,,,
3.0,5 Atwood Trail,Oklahoma City,Oklahoma,73179.0,35.4242,-97.6547,,,,,,,,,,
4.0,04 Moland Trail,Vero Beach,Florida,32969.0,27.709,-80.5726,,,,,,,,,,
5.0,99611 Old Shore Crossing,Charlotte,North Carolina,28215.0,35.244,-80.7387,,,,,,,,,,
6.0,653 Larry Terrace,Kingsport,Tennessee,37665.0,36.5799,-82.5733,,,,,,,,,,
7.0,591 Duke Hill,Tulsa,Oklahoma,74108.0,36.1499,-95.7923,,,,,,,,,,
8.0,702 Gulseth Court,Manassas,Virginia,22111.0,38.7202,-77.4391,,,,,,,,,,
9.0,86 Randy Road,Los Angeles,California,90050.0,33.7866,-118.2987,,,,,,,,,,
10.0,2 Superior Drive,Birmingham,Alabama,35242.0,33.3813,-86.7046,,,,,,,,,,
11.0,9106 Welch Terrace,Young America,Minnesota,55573.0,45.0159,-93.4719,,,,,,,,,,
12.0,66067 Fulton Avenue,Orlando,Florida,32803.0,28.5559,-81.3535,,,,,,,,,,
13.0,5 Sunbrook Road,Dayton,Ohio,45454.0,39.7505,-84.2686,,,,,,,,,,
14.0,88301 Union Pass,Houston,Texas,,29.7971,-95.4958,,,,,,,,,,
15.0,6 Arrowood Alley,Omaha,Nebraska,68105.0,41.2435,-95.9629,,,,,,,,,,
16.0,0 East Alley,Lake Worth,Florida,33462.0,26.5747,-80.0794,,,,,,,,,,
17.0,37 Corben Plaza,Utica,New York,13505.0,43.0872,-75.2603,,,,,,,,,,
18.0,2 Quincy Pass,Cincinnati,Ohio,45296.0,39.1668,-84.5382,,,,,,,,,,
19.0,9822 Hollow Ridge Court,Salem,Oregon,97306.0,44.8685,-123.0438,,,,,,,,,,
20.0,162 Morning Junction,Saint Petersburg,Florida,,27.8918,-82.7248,,,,,,,,,,
21.0,6026 Ludington Park,Ogden,Utah,84403.0,41.1894,-111.9489,,,,,,,,,,
22.0,0 Laurel Place,Albuquerque,New Mexico,87115.0,35.0549,-106.5461,,,,,,,,,,
23.0,1 Tomscot Park,Green Bay,Wisconsin,54313.0,44.5463,-88.1021,,,,,,,,,,
24.0,9 Carberry Center,Wichita,Kansas,67220.0,37.7667,-97.2805,,,,,,,,,,
25.0,431 Sachs Lane,Rochester,New York,,43.1558,-77.6142,,,,,,,,,,
26.0,0055 Summer Ridge Lane,Ogden,Utah,84409.0,41.2553,-111.9567,,,,,,,,,,
27.0,532 Scoville Terrace,Chattanooga,Tennessee,,35.2211,-85.2091,,,,,,,,,,
28.0,60 Hanover Junction,Richmond,Virginia,23228.0,37.625,-77.4959,,,,,,,,,,
29.0,1 Grim Court,Pasadena,California,91109.0,33.7866,-118.2987,,,,,,,,,,
30.0,4 Buena Vista Alley,New Hyde Park,New York,11044.0,40.7548,-73.6018,,,,,,,,,,
31.0,1089 Orin Pass,Odessa,Texas,79769.0,31.7466,-102.567,,,,,,,,,,
